,Unnamed: 0,Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_gambling,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_quite rich,Savings_rich,Risk_bad,Check_moderate,Check_quite rich,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
0,0,67,2,7.063903961472068,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,22,2,8.691314551644853,48,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2,2,49,1,7.647786045440933,12,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
3,3,45,2,8.97233695775495,42,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4,4,53,2,8.490849216076635,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5,5,35,1,9.111072370317514,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6,6,53,2,7.949797216161852,24,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
7,7,35,3,8.846209127360996,36,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
8,8,61,1,8.025843344150903,12,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
9,9,28,3,8.562931083090092,30,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
10,10,25,2,7.166265974133638,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
11,11,24,2,8.36822903827628,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12,12,22,2,7.356918242356021,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13,13,60,1,7.089243155027514,24,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
14,14,45,0,7.089243155027514,23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
15,15,48,1,7.089243155027514,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
16,16,51,1,7.102499355774649,21,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
17,17,54,0,7.115582126184454,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
18,18,57,0,7.1284959456800365,36,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
19,19,60,1,7.141245122350491,12,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
20,20,39,1,7.153833801578843,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
21,21,34,0,7.166265974133638,32,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
22,22,39,0,7.1785454837637,11,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
23,23,32,1,7.190676034332207,12,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
24,24,33,0,7.202661196523238,24,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
25,25,35,1,7.214504414151143,23,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
26,26,42,1,6.90875477931522,34,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0
27,27,45,2,9.106312301552135,45,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
28,28,48,0,6.92951677076365,50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
29,29,51,1,6.946013991099227,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
30,30,54,1,6.962243464266207,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
31,31,57,0,6.9782137426306985,45,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
32,32,60,0,6.993932975223189,32,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
33,33,63,1,7.009408932708637,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
34,34,66,1,7.024649030453636,27,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
35,35,69,0,7.039660349862076,32,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
36,36,72,1,7.05444965813294,39,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
37,37,56,1,7.069023426578259,23,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
38,38,58,0,7.083387847625295,37,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
39,39,60,2,9.014568767457824,45,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
40,40,62,1,7.7501841622578365,35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
41,41,64,1,7.759614150696903,15,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
42,42,66,0,7.768956044538332,31,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1
43,43,68,0,7.778211474512493,34,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
44,44,70,1,7.787382026484701,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
45,45,72,1,7.796469243086058,26,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
46,46,28,2,7.246368080102461,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,47,32,1,7.156176637480615,24,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
48,48,53,2,7.793174347189205,24,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
49,49,25,2,8.996156562033445,30,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
50,50,44,3,9.439784035838873,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
51,51,31,2,8.140315540159985,24,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
52,52,48,2,7.665753431861699,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
53,53,44,2,7.881182202227102,6,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
54,54,48,1,7.714677473800927,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
55,55,44,2,7.4977617006225685,12,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
56,56,26,2,7.634820677745543,10,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
57,57,36,1,7.2254814727822945,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
58,58,39,1,6.054439346269371,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
59,59,42,2,6.013715156042802,12,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
60,60,34,2,7.789454566086673,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
61,61,63,2,8.829958044235482,60,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
62,62,36,2,7.556427969440253,18,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
63,63,27,2,8.299037181613066,24,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
64,64,30,2,8.676928249537397,18,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
65,65,57,1,7.142036574706803,12,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
66,66,33,3,7.295735072749282,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
67,67,25,1,8.465057436995709,45,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
68,68,31,2,8.71768205216564,48,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
69,69,37,2,7.649692623711514,18,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
70,70,37,2,7.110696122978827,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
71,71,24,2,6.126869184114185,9,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
72,72,30,3,7.75491027202143,30,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
73,73,26,2,7.05444965813294,12,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
74,74,44,1,8.73294952429643,18,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
75,75,24,2,8.73020559553099,30,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
76,76,58,1,8.723068501163928,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
77,77,35,3,7.239214973779806,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
78,78,39,2,7.740229524763182,36,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
79,79,23,0,7.20934025660291,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
80,80,39,1,8.885717651712119,11,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
81,81,28,2,7.636752112435779,12,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
82,82,29,1,7.75491027202143,24,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
83,83,30,3,8.693664334532016,27,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
84,84,25,2,7.140453043101158,12,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
85,85,31,2,8.125039097367745,18,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
86,86,57,2,7.707512194600341,36,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
87,87,26,1,6.663132695990803,6,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
88,88,52,3,8.774622220696997,12,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0
89,89,31,2,9.165970424240243,36,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
90,90,23,3,7.581209826196346,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
91,91,23,1,8.736971085254146,36,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
92,92,27,2,7.237778191923443,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
93,93,50,2,7.337587743538596,15,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
94,94,61,3,7.577121930876679,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
95,95,25,2,9.57644075656207,48,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
96,96,26,2,8.064950891749143,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
97,97,48,2,8.554488976159934,27,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
98,98,29,2,7.682943169878292,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
99,99,22,2,6.914730892718563,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
100,100,37,2,7.506042178518122,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
101,101,25,2,7.780720886117918,36,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
102,102,30,2,9.003685138166775,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
103,103,46,1,6.593044534142437,7,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
104,104,51,3,7.059617628291383,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
105,105,41,1,8.691818541575723,42,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
106,106,40,3,7.589335823170617,36,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
107,107,66,3,7.330405211844402,12,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
108,108,34,2,8.285261134068948,42,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
109,109,51,2,8.470311205516108,11,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
110,110,39,1,9.152287440527566,54,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
111,111,22,2,8.251142139090751,30,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
112,112,44,2,8.68996933536666,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
113,113,47,2,7.10085190894405,15,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
114,114,24,1,7.357556200910353,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
115,115,58,1,7.470224135899966,24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
116,116,52,1,7.747164966520335,10,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
117,117,29,3,7.252762418053187,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
118,118,27,2,7.166265974133638,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
119,119,47,2,9.442404020664952,36,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
120,120,30,3,7.718240951959316,18,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
121,121,28,2,7.010311867307229,12,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
122,122,56,2,6.42648845745769,12,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
123,123,54,2,7.25063551189868,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
124,124,33,1,6.680854678790215,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
125,125,20,2,8.193400231952097,24,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
126,126,54,2,7.183870715062453,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
127,127,58,2,9.676900579444158,54,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
128,128,61,2,7.60688453121963,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
129,129,34,2,7.871692664323645,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
130,130,36,2,7.756623334538858,36,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
131,131,36,3,8.86177531100083,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
132,132,41,1,7.292337176173877,24,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
133,133,24,2,7.750614732770409,36,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
134,134,24,2,6.837332814685591,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,135,35,2,7.5595594960077,9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
136,136,26,2,7.801800401908973,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
137,137,39,3,9.387481868728596,24,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0
138,138,39,3,8.77307495131822,18,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
139,139,32,2,8.712430973476739,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
140,140,30,2,8.951699168308815,24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
141,141,35,2,7.251344983372214,14,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
142,142,31,2,7.278628942320682,6,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
143,143,23,2,5.971261839790462,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
144,144,28,1,8.741935464094144,18,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
145,145,25,2,8.96890555068972,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
146,146,35,2,7.426549072397305,12,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
147,147,47,2,8.182559264068665,48,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
148,148,30,3,8.878218658092228,42,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
149,149,27,2,7.664815785285735,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
150,150,23,2,8.361941906144946,33,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
151,151,36,3,7.768956044538332,12,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
152,152,25,2,7.51479976048867,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
153,153,41,3,8.260492856573185,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
154,154,24,1,7.477604243197589,12,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
155,155,63,2,6.660575149839686,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
156,156,27,2,7.562161631225652,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
157,157,30,2,7.659642954564682,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
158,158,40,1,6.55250788703459,12,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
159,159,30,2,6.459904454377535,12,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
160,160,34,3,7.528331766707247,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
161,161,29,2,8.160232492367689,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
162,162,24,2,9.046290859969677,48,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
163,163,29,2,8.837390855544697,36,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
164,164,27,1,7.903965634032166,15,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
165,165,47,2,7.592870287844818,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
166,166,21,2,9.224637676677007,60,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
167,167,38,2,7.122866658599083,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
168,168,27,2,9.061027968789174,27,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
169,169,66,1,6.641182169740591,12,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
170,170,35,2,7.911324018963353,15,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
171,171,44,1,7.53955882930103,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
172,172,27,0,6.5638555265321274,6,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
173,173,30,3,8.475328987317539,36,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
174,174,27,3,8.13622555490846,27,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
175,175,22,2,7.808729306744399,18,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
176,176,23,2,7.7354333524996886,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,177,30,2,8.179199798423086,48,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
178,178,39,2,6.756932389247553,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
179,179,51,2,6.525029657843462,12,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
180,180,28,2,8.58876938990546,36,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
181,181,46,2,7.366445148327599,18,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
182,182,42,2,7.204892510204673,6,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
183,183,38,2,7.562161631225652,10,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
184,184,24,2,8.673855001429615,36,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
185,185,29,2,8.956479847999912,24,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
186,186,36,3,8.848939995030118,24,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
187,187,20,2,7.156176637480615,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
188,188,48,2,7.160845906664299,9,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
189,189,45,1,5.82600010738045,12,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
190,190,38,2,8.163940954755008,24,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
191,191,34,1,7.5485559791698735,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
192,192,36,2,7.962763930168115,24,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
193,193,30,2,6.961296045910167,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
194,194,36,2,7.140453043101158,15,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
195,195,70,3,8.896724917497897,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
196,196,36,2,6.812345094177479,36,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
197,197,32,2,7.999007213243955,6,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
198,198,33,2,7.030857476116121,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
199,199,20,2,7.3632795869630385,11,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
200,200,25,2,8.287025025165063,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,201,31,2,7.5678626054638825,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
202,202,33,2,6.856461984594587,15,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
203,203,26,2,6.637258031284457,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
204,204,34,3,7.6324011266014535,24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
205,205,33,2,7.254177846456518,8,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
206,206,26,2,8.135639903354386,21,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
207,207,53,3,8.920656296853728,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
